"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YPL243W",91.4183999560234,0.733238867177577,0.254971353583788,2.87490862821335,0.00404144434884466,0.0129470307460688,"Thin_vs_Early","S000006164","SRP68","855833","SRP68"
"YOR156C",30.9246763561535,-0.867948285407343,0.30166574820415,-2.87214455473327,0.00407696428749196,0.0130533149687458,"Thin_vs_Early","S000005682","NFI1","854327","NFI1"
"YLR206W",212.1853159282,-0.600161270451795,0.209000708742182,-2.87148561665647,0.00408547373825178,0.0130730466374501,"Thin_vs_Early","S000004196","ENT2","850903","ENT2"
"YHR021W-A",6.92963866622777,-1.6600202056283,0.565624501037919,-2.8703167345645,0.00410060821506181,0.0131139428048848,"Thin_vs_Early","S000003531","ECM12","856416","ECM12"
"YIL033C",245.933678539839,-0.569172473881629,0.198500219429496,-2.86814299419318,0.00412888877668207,0.0131816844555277,"Thin_vs_Early","S000001295","BCY1","854778","BCY1"
"YLR072W",53.9817137819838,-0.6837349275731,0.238290477869484,-2.86842280916147,0.00412523846036489,0.0131816844555277,"Thin_vs_Early","S000004062","LAM6","850761","LAM6"
"YPL150W",113.883357547391,-0.597622151152935,0.208213459505604,-2.86815915497861,0.00412867787199984,0.0131816844555277,"Thin_vs_Early","S000006071",NA,"855953","YPL150W"
"YCR047C",46.3548285343789,-0.776418614868046,0.270688810068838,-2.86638012563909,0.00415195369504242,0.0132477285424292,"Thin_vs_Early","S000000643","BUD23","850414","BUD23"
"YNR014W",54.1333078774751,-0.834712040580061,0.291713855529986,-2.86600809961808,0.00415683610110561,0.0132557148936802,"Thin_vs_Early","S000005297",NA,"855748","YNR014W"
"YPL131W",535.515086046481,0.617409399323813,0.215482389900755,2.86498889766502,0.00417023862899589,0.0132908463398948,"Thin_vs_Early","S000006052","RPL5","855972","RPL5"
"YBR105C",194.987325603773,-0.599910771651174,0.209536875639163,-2.86479171471029,0.00417283611077133,0.0132915208536919,"Thin_vs_Early","S000000309","VID24","852402","VID24"
"YHR171W",60.8127259161283,-0.759149626172072,0.264807681634414,-2.86424936674375,0.00417998800730976,0.0133066932506987,"Thin_vs_Early","S000001214","ATG7","856576","ATG7"
"YPR185W",98.7468868500551,-0.64182356527733,0.224136696308044,-2.86379625414074,0.00418597168900111,0.0133181315130926,"Thin_vs_Early","S000006389","ATG13","856315","ATG13"
"YGR149W",61.1514663248487,-0.803202399166557,0.280087008708441,-2.86334615366787,0.00419192328559762,0.0133294546941007,"Thin_vs_Early","S000003381","GPC1","853052","GPC1"
