"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","SGD","GENENAME","ENTREZID","label"
"YBL048W",184.93681170118,-1.22461331155337,0.246130527634535,-4.97726041099681,6.44905324559779e-07,5.77615363846066e-06,"Down","S000000144","RRT1","852232","RRT1"
"YBL049W",266.582437056188,0.366703901194111,0.216569628924882,1.70154949766145,0.0888398515167412,0.160742712828764,"NS","S000000145","MOH1","852231","MOH1"
"YBL050W",210.988660132521,0.159041888859205,0.180856254002849,0.879801039465494,0.378967101470041,0.501359706076846,"NS","S000000146","SEC17","852230","SEC17"
"YBL051C",239.007094949543,-0.516091879982791,0.220897360624234,-2.33585212155156,0.0194989500382756,0.0460486013833122,"NS","S000000147","PIN4","852229","PIN4"
"YBL052C",73.6647424376007,-0.763625747535414,0.37237380214231,-2.04961125246043,0.040402381484853,0.0840484194369364,"NS","S000000148","SAS3","852228","SAS3"
"YBL054W",29.1895845614153,0.804226429672411,0.344380299483739,2.34034818927343,0.0192657691037274,0.0455945623096285,"NS","S000000150","TOD6","852226","TOD6"
"YBL055C",41.3804551791391,0.812218682367488,0.31433630485919,2.58826694226224,0.00964601963210824,0.0261153090174048,"NS","S000000151",NA,"852225","YBL055C"
"YBL056W",176.474564758727,0.414858297635039,0.234047870631195,1.77427979941016,0.0760168802360886,0.140787912165974,"NS","S000000152","PTC3","852224","PTC3"
"YBL057C",41.3046086149132,0.3069309311775,0.279800719979676,1.09424505515475,0.273847515930934,0.391447724610496,"NS","S000000153","PTH2","852223","PTH2"
"YBL058W",210.911026642835,-0.981253313740275,0.184219742433939,-5.32555057818671,1.00647704402914e-07,1.04805301164231e-06,"NS","S000000154","SHP1","852222","SHP1"
"YBL059C-A",152.602695068666,-0.565859883191817,0.241221304318795,-2.3463920648932,0.018956155694851,0.0450148096231948,"NS","S000007488","CMC2","852220","CMC2"
"YBL059W",47.8374917575183,-0.355886569174462,0.288474649656903,-1.23696055314212,0.216101727685547,0.326134551491497,"NS","S000000155","IAI11","852221","IAI11"
"YBL060W",52.6626730958126,-0.551007437513407,0.269802980351195,-2.04077848109468,0.0412728504219468,0.0854762266545226,"NS","S000000156","YEL1","852219","YEL1"
"YBL061C",64.870560685087,0.213320956155483,0.243382854360039,0.877009970057309,0.380481222785094,0.502646642669139,"NS","S000000157","SKT5","852218","SKT5"
"YBL063W",73.6605074672347,-0.377361681210356,0.265326683771736,-1.42206166565269,0.155008350061991,0.250014915516895,"NS","S000000159","KIP1","852216","KIP1"
"YBL064C",1444.35746497599,-1.0175706963021,0.133172115965126,-7.64075024750163,2.15959613965897e-14,6.87492005373722e-13,"Down","S000000160","PRX1","852215","PRX1"
"YBL066C",208.078915078589,-0.327934769210842,0.208016304361956,-1.57665062244517,0.114875937829594,0.197644796061972,"NS","S000000162","SEF1","852214","SEF1"
"YBL067C",171.001125451234,0.0279344961892686,0.183000918645088,0.15400256055617,0.877607716640397,0.91832317607131,"NS","S000000163","UBP13","852212","UBP13"
"YBL068W",34.5533076696713,0.916623643684771,0.332263699226402,2.74877316063219,0.00598187682715757,0.0174111994796734,"NS","S000000164","PRS4","852211","PRS4"
"YBL069W",15.8785082857516,0.15411041342057,0.397191939635705,0.379899720953315,0.704019854484226,0.790107697286789,"NS","S000000165","AST1","852209","AST1"
"YBL071C",19.9854478886786,0.0989260411615038,0.385910142072107,0.258051904250896,0.796366849535456,0.860799324556077,"NS","S000000167",NA,"852208","YBL071C"
"YBL071W-A",12.5421224510071,0.803219605717813,0.48889753249508,1.63104816161723,0.102880157550948,0.181192847390565,"NS","S000007587","KTI11","852207","KTI11"
"YBL072C",782.647110478144,0.783865990853071,0.190791011432246,4.10807766540267,3.9896595317684e-05,0.000234951302869786,"NS","S000000168","RPS8A","852206","RPS8A"
"YBL074C",23.6174569141042,0.0342151037447004,0.35146240124013,0.100945725481116,0.919593544782154,0.945660501672468,"NS","S000000170","AAR2","852205","AAR2"
"YBL075C",239.829025208049,-0.746649449183657,0.167555503413256,-4.45593738359103,8.3527411244066e-06,5.92778608969034e-05,"NS","S000000171","SSA3","852203","SSA3"
